USER_ID,ITEM_ID,TIMESTAMP
0742,171,1549146727
0956,056,1572714361
0375,178,1559654152
1195,166,1565724001
1403,155,1571966656
0544,198,1570918363
0769,050,1566494430
0261,038,1559959057
1624,069,1576355579
0917,012,1568284661
1850,088,1570814648
0058,217,1555079153
0771,159,1572795890
1448,084,1563949431
1228,123,1563781510
1042,017,1557500693
0173,052,1567255616
0761,030,1555105202
0784,223,1553672658
0154,062,1563160453
0982,051,1576532100
0998,016,1557764624
0856,008,1575733293
1296,018,1553245449
0501,122,1553371986
1465,127,1552675593
0800,217,1566805513
1370,041,1574815827
0288,194,1575263839
1557,011,1556259957
0674,080,1547855255
1439,208,1565283630
0825,060,1551011830
0520,150,1551768444
0426,153,1555207571
1941,233,1569875920
1506,207,1546556651
0327,144,1550075554
1591,133,1566448271
0078,167,1549437693
1995,170,1566024505
0869,069,1549743386
1307,213,1562166921
0041,163,1549386253
1642,176,1561992646
0136,238,1567063134
0000,020,1570638818
1397,226,1575539474
1086,150,1547647965
1574,098,1555296856
1786,075,1566192825
0033,167,1562414706
1260,134,1561702430
0931,145,1557587450
1505,144,1546989363
0646,048,1575849696
0062,151,1568308401
0126,013,1546807063
0277,168,1575226181
0652,184,1568385341
0707,030,1557133753
0958,020,1568044574
0075,158,1550688069
1521,220,1553675553
0859,132,1559191935
1867,148,1567124831
1403,100,1555070822
1026,020,1574764308
0677,052,1566774020
1771,080,1550265402
0548,112,1565765088
0320,190,1562349428
1698,021,1559511008
1689,114,1560258236
1724,121,1577337211
1253,176,1563369284
1916,022,1563213263
1646,034,1548928721
0773,030,1550296508
1327,159,1572140457
1874,075,1552593478
1941,061,1573904195
1652,157,1570024713
1886,167,1566357982
1189,179,1550125763
0894,138,1550282117
1687,133,1552980102
1934,050,1571283852
1599,087,1548020740
0226,161,1554570462
0779,126,1553306855
1660,002,1561699109
1595,083,1568055282
1640,201,1571326795
0321,229,1565414081
1792,180,1561324491
0448,122,1570596253
1286,144,1570918124
1402,226,1563314050
1822,126,1577311587
1523,206,1566380999
0270,225,1554473970
0847,036,1577549964
1717,025,1548069676
0676,015,1562110476
1723,116,1575401690
1320,173,1559297828
0705,048,1570614137
1767,230,1560363804
1500,218,1573882298
1386,043,1574679920
1411,084,1569707189
0052,007,1556629269
0521,222,1559761848
0638,192,1562910997
0170,198,1566341776
0978,151,1556587766
0939,054,1569112178
1431,057,1562959345
0983,001,1555675194
1098,159,1552970356
1298,080,1568557437
0317,125,1548639570
1072,160,1564007742
0581,112,1557972468
0451,128,1546473381
0679,228,1546982617
0715,042,1574404498
0141,233,1569433317
0884,188,1574342096
1027,189,1561493169
0800,139,1563326360
0532,019,1558528072
1703,121,1554128131
0946,170,1562716597
1449,180,1548846458
1200,010,1546908728
0059,208,1554087428
1985,058,1565578241
1490,132,1559964115
0140,175,1570351956
0183,135,1549255810
0554,066,1559837575
0862,059,1570989909
1770,202,1552865195
0840,221,1549656816
1841,037,1554590306
1413,028,1572427840
0651,032,1577417888
1221,119,1552589825
0391,228,1558317436
0165,101,1569107244
0738,223,1567355499
1719,222,1557525185
1351,218,1551867017
1542,159,1556742310
0283,056,1562770139
0556,115,1556842244
1750,086,1577080795
0824,218,1575007206
0601,074,1565014582
0643,152,1565424774
0994,156,1564900569
0850,031,1577024526
0864,193,1554605433
0852,108,1572760714
0280,161,1563320319
1909,075,1567930888
1273,048,1566201872
1203,048,1574179875
1388,130,1556530663
1802,123,1564739679
1790,227,1549483075
0202,094,1572795163
1815,185,1567522886
0408,180,1567209563
1226,106,1559413199
1648,094,1559958362
1922,190,1558853187
0343,205,1546541993
0754,073,1573346491
0973,193,1551504220
0582,080,1566476722
1846,135,1573011976
